name,total_reviews,total_citedin,max_citedin,max_citedin_pmid,max_citedin_year,year_start,year_last
Jessica Howell,1,5,5,23432473,2013,2013,2013
G F Hoyne,1,0,0,9761953,1998,1998,1998
Z Hruskova,1,0,0,18647547,2008,2008,2008
Chyi-Song Hsieh,1,10,10,24712459,2014,2014,2014
Hongzhen Hu,1,5,5,25894692,2015,2015,2015
Leaf Huang,1,6,6,16305443,2005,2005,2005
S Joseph Huang,1,13,13,19683334,2009,2009,2009
Su-Cheng Huang,1,14,14,18508658,2008,2008,2008
Wen-Lin Huang,1,5,5,21352695,2011,2011,2011
Jeffrey A Hubbell,1,59,59,17049307,2006,2006,2006
Pascale Hubert,1,31,31,17652446,2007,2007,2007
Anke Huckriede,1,5,5,12547604,2003,2003,2003
Grant C Hughes,1,21,21,17729041,2007,2007,2007
Stephanie Hugues,1,7,7,20607241,2010,2010,2010
Sek-Wen Hui,1,0,0,12625763,2003,2003,2003
P Humbert,1,0,0,19264208,2008,2008,2008
M Hummel,1,0,0,7683231,1993,1993,1993
Chien Fu Hung,1,5,5,27329199,2016,2016,2016
Chien-Fu Hung,1,7,7,25625927,2015,2015,2015
Thomas Hunig,1,20,20,12220550,2002,2002,2002
D W Hunt,1,12,12,9711775,1998,1998,1998
J S Hunt,1,7,7,15837058,2005,2005,2005
J A Hunter,1,0,0,6362927,1983,1983,1983
Mahmoud R Hussein,1,5,5,15917653,2005,2005,2005
T Hussell,1,5,5,19079188,2008,2008,2008
William Y K Hwang,1,0,0,22402468,2012,2012,2012
Takafumi Ichida,1,8,8,16170461,2005,2005,2005
Joseph U Igietseme,1,11,11,12901604,2003,2003,2003
Botond Z Igyarto,1,17,17,23246038,2012,2012,2012
Hideyuki Ikeda,1,0,0,12769754,2003,2003,2003
Yaron Ilan,1,11,11,19559742,2009,2009,2009
Takashi Imai,1,2,2,19551545,2009,2009,2009
Y Imai,1,1,1,1896619,1991,1991,1991
P Imbach,1,5,5,19821958,2009,2009,2009
Marianne Imhof,1,1,1,22842550,2012,2012,2012
Kevin R Imrie,1,0,0,18464100,2008,2008,2008
A Indar,1,2,2,12018689,2002,2002,2002
Daniel J Indelicato,1,1,1,23148754,2012,2012,2012
Arieh Ingber,1,0,0,17903614,2007,2007,2007
Molly A Ingersoll,1,80,80,21664185,2011,2011,2011
B L Innis,1,34,34,7663049,1995,1995,1995
S Inoges,1,0,0,15146205,2004,2004,2004
Akira Inomata,1,1,1,19008641,2008,2008,2008
Hiromasa Inoue,1,0,0,24608645,2014,2014,2014
Antonis Ioannou,1,20,20,21839685,2011,2011,2011
Minoru Irahara,1,11,11,12323001,2002,2002,2002
Tatsuro Irimura,1,0,0,15861637,2005,2005,2005
M Irshad,1,9,9,19065353,2008,2008,2008
Darrell J Irvine,1,64,64,22641380,2012,2012,2012
Maria G Isaguliants,1,1,1,17669007,2007,2007,2007
Sho Ishikawa,1,2,2,12518463,2003,2003,2003
Elliot Israel,1,5,5,22753688,2012,2012,2012
Kyogo Itoh,1,24,24,23107418,2012,2012,2012
Kazuya Iwabuchi,1,13,13,17917039,2007,2007,2007
Masayuki Iwano,1,0,0,22413577,2012,2012,2012
Shozo Izui,1,19,19,19846276,2009,2009,2009
Jerzy Jablecki,1,4,4,21436781,2011,2011,2011
Jadwiga Jablonska,1,5,5,26648665,2015,2015,2015
Robert Jack,1,5,5,17059691,2006,2006,2006
David C Jackson,1,7,7,17696872,2007,2007,2007
Dc Jackson,1,2,2,15203984,2004,2004,2004
Joshy Jaco,1,0,0,12405202,2002,2002,2002
Marie C Jacob,1,0,0,12876674,2003,2003,2003
S E Jacob,1,0,0,18833062,2008,2008,2008
H Jacobi,1,7,7,11449202,2001,2001,2001
N Jacobs,1,17,17,18336590,2008,2008,2008
Elizabeth M Jaffee,1,31,31,20693840,2010,2010,2010
M J Jager,1,5,5,1284616,1992,1992,1992
Bernd Jahrsdorfer,1,0,0,21476966,2011,2011,2011
Kewal K Jain,1,4,4,20979567,2010,2010,2010
Lajos Jakab,1,1,1,26186144,2015,2015,2015
Thilo Jakob,1,12,12,18596583,2008,2008,2008
Claudia V Jakubzick,1,4,4,22968708,2012,2012,2012
Ahmad Jalili,1,3,3,17767012,2007,2007,2007
Judith A James,1,17,17,22504579,2012,2012,2012
C A Jr Janeway,1,2,2,10081222,1999,1999,1999
G Janossy,1,0,0,8379425,1993,1993,1993
H M Jansen,1,3,3,8836331,1996,1996,1996
H L A Janssen,1,10,10,20007959,2009,2009,2009
Lukasz Japtok,1,1,1,23563666,2013,2013,2013
Luis J Jara,1,3,3,18190887,2008,2008,2008
Sunit P Jariwala,1,7,7,17680257,2007,2007,2007
Freddy Jeanneteau,1,0,0,25958756,2015,2015,2015
Peter K Jeffery,1,20,20,18337593,2008,2008,2008
M Jefford,1,5,5,11905751,2002,2002,2002
L Jenne,1,4,4,12797451,2003,2003,2003
Dooil Jeoung,1,6,6,18050904,2007,2007,2007
Zhansheng Jia,1,8,8,22486354,2012,2012,2012
Aimin Jiang,1,10,10,19771400,2009,2009,2009
Jian-Xin Jiang,1,0,0,16222973,2005,2005,2005
Jiu Jiang,1,11,11,21315186,2011,2011,2011
Shuiping Jiang,1,32,32,15341998,2004,2004,2004
Xiao-Bing Jiang,1,5,5,25259676,2014,2014,2014
Yuan-Ying Jiang,1,2,2,25714264,2015,2015,2015
Hongchuan Jin,1,7,7,24741604,2014,2014,2014
Tao Jin,1,3,3,25705093,2015,2015,2015
Xia Jin,1,5,5,26435066,2015,2015,2015
Hanjoong Jo,1,7,7,23552284,2013,2013,2013
Ludger Johannes,1,10,10,12230467,2002,2002,2002
Cecilia Johansson,1,28,28,15978836,2005,2005,2005
Benjamin F Johnson,1,26,26,17373897,2007,2007,2007
Burles A 3rd Johnson,1,29,29,20161103,2010,2010,2010
P R Johnson,1,6,6,11525561,2001,2001,2001
Theodore S Johnson,1,16,16,23017145,2012,2012,2012
C I Johnstone,1,1,1,2685157,1989,1989,1989
C A Jones,1,68,68,10955693,2000,2000,2000
Dallas C Jones,1,176,176,12360213,2002,2002,2002
Dan Jones,1,13,13,17439829,2007,2007,2007
E L Jones,1,1,1,6394728,1984,1984,1984
Kim S Jones,1,8,8,19194892,2009,2009,2009
Roland Jonsson,1,32,32,21777618,2011,2011,2011
G F Joos,1,1,1,16395862,2006,2006,2006
Trine N Jorgensen,1,13,13,25708485,2015,2015,2015
Johanna A Joyce,1,0,0,28292436,2017,2017,2017
Xiuli Ju,1,2,2,22387587,2012,2012,2012
Corinne Jud,1,7,7,23519981,2013,2013,2013
Susan I V Judge,1,12,12,16847777,2006,2006,2006
B D Jun,1,1,1,3149987,1988,1988,1988
C H June,1,0,0,12762508,2003,2003,2003
T Jung,1,0,0,11940062,2002,2002,2002
Thomas W Jungi,1,58,58,12507844,2003,2003,2003
Jacqueline M Junkins-Hopkins,1,1,1,25732922,2015,2015,2015
J G Jurcic,1,0,0,10882181,2000,2000,2000
Marek Jutel,1,27,27,12413523,2002,2002,2002
Edmund K Waller,1,2,2,15496276,2004,2004,2004
T Kaaman,1,0,0,3916763,1985,1985,1985
Jonathan C Kagan,1,195,195,19556980,2009,2009,2009
Kozo Kaibuchi,1,0,0,12836419,2003,2003,2003
Kevin C Kain,1,28,28,14519584,2003,2003,2003
Pete Kaiser,1,4,4,21719145,2011,2011,2011
Brigitte Kaissling,1,46,46,18575881,2008,2008,2008
Masato Kakeda,1,4,4,24371376,2013,2013,2013
Kazuhiro Kakimi,1,3,3,15147039,2004,2004,2004
Shinichi Kakumu,1,0,0,15359786,2004,2004,2004
Mrinalini Kala,1,16,16,21402415,2011,2011,2011
Tahereh Kalantari,1,14,14,22105838,2011,2011,2011
Joerg C Kalff,1,4,4,22382699,2012,2012,2012
Jorg C Kalff,1,0,0,21912249,2011,2011,2011
R S Kalish,1,5,5,1929465,1991,1991,1991
Gunilla Kallenius,1,1,1,26586646,2015,2015,2015
E R Kaminski,1,0,0,14692516,2003,2003,2003
Ulrike Kammerer,1,7,7,16129956,2005,2005,2005
Nobuo Kanazawa,1,21,21,17046204,2006,2006,2006
Lana E Kandalaft,1,4,4,26241169,2015,2015,2015
Darja Kanduc,1,8,8,19063692,2008,2008,2008
Shuichi Kaneko,1,2,2,20332677,2010,2010,2010
Suk-Jo Kang,1,1,1,22767247,2012,2012,2012
Jean Kanitakis,1,23,23,12095893,2002,2002,2002
Masamoto Kanno,1,0,0,17982286,2007,2007,2007
John Y Kao,1,8,8,22356863,2012,2012,2012
Gilla Kaplan,1,21,21,23864058,2013,2013,2013
M H Kaplan,1,0,0,7916357,1994,1994,1994
Martien Kapsenberg,1,0,0,16782024,2006,2006,2006
Michael Karin,1,33,33,26325032,2015,2015,2015
Nathan Karin,1,1,1,15011778,2004,2004,2004
T Kasajima,1,4,4,9589904,1998,1998,1998
Arthur Kaser,1,48,48,24104886,2013,2013,2013
Dennis L Kasper,1,13,13,23830047,2013,2013,2013
Wolfgang Kastenmuller,1,3,3,27088916,2016,2016,2016
Koko Katagiri,1,18,18,16162265,2005,2005,2005
Mitsuo Katano,1,5,5,15147037,2004,2004,2004
Kazunori Kataoka,1,87,87,16815554,2006,2006,2006
Atsushi Kato,1,15,15,25838086,2015,2015,2015
Norito Katoh,1,10,10,20579307,2010,2010,2010
Andreas D Katsambas,1,4,4,18289319,2008,2008,2008
Stefan H E Kaufmann,1,6,6,26140356,2015,2015,2015
J J Kavanagh,1,0,0,12801274,2003,2003,2003
S-V Kaveri,1,1,1,19443254,2009,2009,2009
Srini Kaveri,1,2,2,23873313,2013,2013,2013
Takafumi Kawanami,1,0,0,15954354,2005,2005,2005
Toshisuke Kawasaki,1,0,0,21089382,2008,2008,2008
P M Kaye,1,14,14,7546205,1995,1995,1995
Paul Kaye,1,17,17,12900274,2003,2003,2003
M D Kazatchkine,1,8,8,16362793,2005,2005,2005
Barbara I Kazmierczak,1,32,32,21839853,2011,2011,2011
Wumesh KC,1,18,18,21924924,2011,2011,2011
John F Jr Keaney,1,4,4,22125193,2011,2011,2011
Barbara L Kee,1,107,107,19240756,2009,2009,2009
John H Kehrl,1,8,8,25385065,2014,2014,2014
T Kekarainen,1,8,8,20451259,2010,2010,2010
R Keller,1,7,7,11578684,2001,2001,2001
Ronald C Kennedy,1,12,12,20936120,2010,2010,2010
Christopher L Kepley,1,4,4,15640700,2005,2005,2005
Nathalie Kerkhoff,1,2,2,23725285,2013,2013,2013
Michael H Kershaw,1,11,11,15845446,2005,2005,2005
Benjamin G Keselowsky,1,13,13,21157186,2010,2010,2010
I I Kessler,1,0,0,8357974,1993,1993,1993
Luc Kestens,1,3,3,26997965,2016,2016,2016
Natkunam Ketheesan,1,18,18,25262977,2014,2014,2014
Svetlana F Khaiboullina,1,6,6,24769378,2014,2014,2014
K P Khanson,1,0,0,10629702,2000,2000,2000
Khashayarsha Khazaie,1,26,26,24076584,2013,2013,2013
Ui-Soon Khoo,1,17,17,18458800,2008,2008,2008
Alok A Khorana,1,7,7,15207019,2004,2004,2004
A A Khristin,1,1,1,26571822,2015,2015,2015
Parris Kidd,1,138,138,12946237,2003,2003,2003
Marie-Paul Kieny,1,8,8,18844599,2008,2008,2008
R Kiessling,1,6,6,9570292,1997,1997,1997
Tetsuro Kikuchi,1,0,0,15853209,2005,2005,2005
Toshiaki Kikuchi,1,3,3,16340167,2005,2005,2005
Kate E Killick,1,15,15,23795683,2013,2013,2013
Chang H Kim,1,13,13,15928487,2005,2005,2005
Han-Soo Kim,1,3,3,15250050,2004,2004,2004
Ho-Youn Kim,1,48,48,17967728,2007,2007,2007
Sun Jung Kim,1,1,1,26376898,2015,2015,2015
Young-Joon Kim,1,5,5,23566096,2013,2013,2013
Young-June Kim,1,10,10,20727784,2010,2010,2010
Peter E Kima,1,2,2,25107580,2014,2014,2014
A B Kimball,1,6,6,17725671,2007,2007,2007
Paul W Kincade,1,18,18,15766667,2005,2005,2005
Vincent Kindler,1,1,1,16826633,2006,2006,2006
C Kinet-Denoel,1,6,6,3076423,1988,1988,1988
Nicholas J C King,1,51,51,17320464,2007,2007,2007
Frank Kirchhoff,1,17,17,24075872,2013,2013,2013
John M Kirkwood,1,70,70,22576456,2012,2012,2012
Joanna R Kirman,1,5,5,23167967,2012,2012,2012
Kyriakos A Kirou,1,19,19,23566912,2013,2013,2013
Denise E Kirschner,1,10,10,21798267,2011,2011,2011
S L Kiselev,1,2,2,15454953,2004,2004,2004
S Kishimoto,1,0,0,8217954,1993,1993,1993
T Kitajima,1,0,0,9769937,1998,1998,1998
Yasuo Kitajima,1,0,0,18779903,2008,2008,2008
D Kiurkchiev,1,1,1,19230259,2009,2009,2009
M Klabusay,1,0,0,19177732,2009,2009,2009
Matthias Klammer,1,0,0,16608421,2006,2006,2006
D Klatzmann,1,0,0,8786897,1995,1995,1995
A Klein-Jan,1,0,0,9212860,1997,1997,1997
Bruce Klein,1,6,6,25377140,2014,2014,2014
Bruce S Klein,1,17,17,22607797,2012,2012,2012
Elisabeth Klein,1,8,8,18094945,2007,2007,2007
L Klein,1,19,19,10712940,2000,2000,2000
Alex Kleinjan,1,0,0,19031024,2008,2008,2008
Alex KleinJan,1,1,1,21150432,2010,2010,2010
Burkhard Kleuser,1,7,7,16830220,2006,2006,2006
A H Klimp,1,47,47,12413632,2002,2002,2002
William B Klimstra,1,43,43,18837774,2008,2008,2008
Marian Klinger,1,0,0,24988607,2014,2014,2014
David J 2nd Klinke,1,1,1,22973412,2012,2012,2012
W E Klinkert,1,2,2,2258188,1990,1990,1990
Peter-Christian Klohn,1,8,8,23911964,2013,2013,2013
Judith Klumperman,1,48,48,16167055,2005,2005,2005
J Knop,1,1,1,8156171,1993,1993,1993
Kenneth S Knox,1,9,9,17560302,2007,2007,2007
Keith L Knutson,1,16,16,25795789,2015,2015,2015
E Kobayashi,1,0,0,10771695,2000,2000,2000
Koju Kobayashi,1,0,0,16248353,2005,2005,2005
Yoshiro Kobayashi,1,29,29,20807706,2010,2010,2010
A E Koch,1,16,16,8958992,1996,1996,1996
Joachim Koch,1,12,12,24305946,2013,2013,2013
Susanne Koch,1,4,4,21181302,2010,2010,2010
S Kochman,1,0,0,10640266,2000,2000,2000
Denise R Kockler,1,27,27,18094343,2007,2007,2007
M Kodama,1,0,0,8455588,1993,1993,1993
U Koehl,1,0,0,24158895,2013,2013,2013
S Kohler,1,4,4,9556428,1998,1998,1998
Kazuhiko Koike,1,0,0,15359831,2004,2004,2004
Kenichi Koike,1,4,4,23788509,2013,2013,2013
Takashi Kojima,1,3,3,24101385,2013,2013,2013
Annette Kolb-Maurer,1,2,2,16295136,2005,2005,2005
Hans-Jochem Kolb,1,2,2,21640430,2011,2011,2011
Ekaterina K Koltsova,1,15,15,24005215,2013,2013,2013
Ricardo J Komotar,1,10,10,23790634,2013,2013,2013
D M Komp,1,2,2,3312151,1987,1987,1987
M Kondo,1,18,18,11532393,2001,2001,2001
S Kondo,1,11,11,10764989,2000,2000,2000
Y Y Kong,1,20,20,11071528,2000,2000,2000
Alfred Konigsrainer,1,8,8,18064486,2007,2007,2007
Dwight H Kono,1,10,10,14984027,2004,2004,2004
K Kono,1,15,15,23788045,2013,2013,2013
Mirjam Kool,1,8,8,25245013,2014,2014,2014
Natasa Kopitar-Jerala,1,28,28,17098233,2006,2006,2006
E O Koppang,1,2,2,18220802,2008,2008,2008
R S Kornbluth,1,8,8,8083591,1994,1994,1994
M Kosco-Vilbois,1,1,1,7858501,1994,1994,1994
Anil Koul,1,80,80,15083155,2004,2004,2004
Susan Kovats,1,24,24,22561458,2012,2012,2012
Dariusz W Kowalczyk,1,1,1,12362970,2002,2002,2002
Y Koyanagi,1,0,0,10078046,1999,1999,1999
Emil Kozarov,1,8,8,22185451,2011,2011,2011
Jean-Pierre Kraehenbuhl,1,5,5,15681739,2005,2005,2005
Stefan Kraft,1,12,12,15175139,2004,2004,2004
K Kragballe,1,2,2,2533778,1989,1989,1989
Christopher M Kramer,1,62,62,16990841,2006,2006,2006
Barbara Krammer,1,35,35,18389144,2008,2008,2008
Sheri M Krams,1,5,5,24522700,2014,2014,2014
S W Krause,1,15,15,9766621,1998,1998,1998
Hans H Kreipe,1,10,10,18684638,2008,2008,2008
E J Kremer,1,10,10,17172670,2006,2006,2006
Laurent Kremer,1,101,101,15228522,2004,2004,2004
A M Krensky,1,21,21,11336683,2001,2001,2001
Karsten Kretschmer,1,2,2,23804268,2012,2012,2012
Martin A Kriegel,1,22,22,22525889,2012,2012,2012
W Kriz,1,23,23,2062030,1991,1991,1991
Mitchell Kronenberg,1,145,145,17487145,2007,2007,2007
G G Krueger,1,0,0,3891880,1985,1985,1985
Wim H J Kruit,1,11,11,12649742,2003,2003,2003
Stephan R Krutzik,1,32,32,14751762,2004,2004,2004
R Krzysiek,1,1,1,20970683,2010,2010,2010
Malgorzata Krzyzowska,1,1,1,23667098,2013,2013,2013
Katharina F Kubatzky,1,1,1,22427181,2012,2012,2012
Karl Kuchler,1,20,20,20538507,2010,2010,2010
Stefanie Kuerten,1,15,15,20692821,2010,2010,2010
Walther C Kuhn,1,0,0,14666641,2003,2003,2003
Johan Kuiper,1,21,21,25414253,2014,2014,2014
Bart Jan Kullberg,1,12,12,16918256,2006,2006,2006
Atsushi Kumanogoh,1,0,0,23012815,2012,2012,2012
Chaitanya Kumar,1,0,0,28229976,2017,2017,2017
Rajiv Kumar,1,14,14,12520533,2003,2003,2003
Rakesh K Kumar,1,8,8,24904000,2014,2014,2014
V Kumar,1,62,62,20828640,2010,2010,2010
T M Kundig,1,0,0,16689457,2006,2006,2006
Sam K P Kung,1,1,1,20874652,2010,2010,2010
Sam Kp Kung,1,3,3,25804481,2015,2015,2015
Hiroki Kuniyasu,1,13,13,21204727,2011,2011,2011
S Kuniyuki,1,0,0,9065709,1997,1997,1997
John S Kuo,1,0,0,19275269,2009,2009,2009
T S Kupper,1,21,21,8649179,1996,1996,1996
Shigeki Kuriyama,1,0,0,15954422,2005,2005,2005
Anna J Kurnatowska,1,0,0,20450005,2010,2010,2010
J T Kurnick,1,10,10,18831916,2008,2008,2008
Masayuki Kurooka,1,0,0,18040151,2007,2007,2007
Oliver Kurzai,1,5,5,18706860,2008,2008,2008
D J Kusner,1,12,12,17917060,2007,2007,2007
Masataka Kuwana,1,19,19,12480259,2002,2002,2002
S N Kuzin,1,0,0,16826749,2006,2006,2006
Larry W Kwak,1,3,3,12881808,2003,2003,2003
Jaap Kwekkeboom,1,6,6,22903671,2012,2012,2012
Katarzyna Kwiatkowska,1,18,18,18800365,2008,2008,2008
Seung-Ki Kwok,1,4,4,26110387,2015,2015,2015
Byungsuk Kwon,1,12,12,12642898,2003,2003,2003
Eugene D Kwon,1,5,5,12641491,2003,2003,2003
Dobroslav Kyurkchiev,1,4,4,20638907,2010,2010,2010
Antonio La Cava,1,17,17,19355907,2009,2009,2009
Andrea la Sala,1,45,45,12629147,2003,2003,2003
S La Vignera,1,12,12,21696400,2011,2011,2011
J P Lacour,1,3,3,22455538,2012,2012,2012
S Lacroix-Desmazes,1,6,6,18078399,2008,2008,2008
Philippe-Henri Lagrange,1,7,7,15620608,2004,2004,2004
Mireille H Lahoud,1,22,22,24513968,2014,2014,2014
R A Lake,1,17,17,18007666,2007,2007,2007
Fadi G Lakkis,1,7,7,25629552,2015,2015,2015
P P Laktionov,1,0,0,25762597,2015,2015,2015
Daniel Lamarre,1,0,0,20929679,2010,2010,2010
Hui Yao Lan,1,43,43,24981817,2014,2014,2014
Jose M Lanao,1,10,10,22833931,2012,2012,2012
Nathaniel R Landau,1,4,4,24665823,2014,2014,2014
Florian Lang,1,10,10,21451105,2011,2011,2011
Thomas J Lang,1,34,34,15507385,2004,2004,2004
H F Langer,1,8,8,18088342,2007,2007,2007
Erik Langhoff,1,2,2,15029400,2004,2004,2004
William Langridge,1,10,10,24877157,2014,2014,2014
William H R Langridge,1,6,6,21524383,2011,2011,2011
Arpad Lanyi,1,1,1,12641277,2003,2003,2003
Karoly Lapis,1,0,0,19129146,2009,2009,2009
Mark Larche,1,30,30,17873195,2007,2007,2007
Estibalitz Laresgoiti-Servitje,1,32,32,23633414,2013,2013,2013
C P Larsen,1,14,14,2405548,1990,1990,1990
K A Laschos,1,1,1,20658715,2010,2010,2010
Gendie E Lash,1,3,3,26385089,2015,2015,2015
E C Lattime,1,0,0,11205909,2001,2001,2001
Allan S Y Lau,1,6,6,22700248,2012,2012,2012
Chak-Sing Lau,1,18,18,22503660,2012,2012,2012
Antti Lauerma,1,3,3,17903620,2007,2007,2007
Terri M Laufer,1,27,27,25324123,2014,2014,2014
J Laurence,1,6,6,8267295,1993,1993,1993
Fabrice Laurent,1,1,1,24918602,2014,2014,2014
Genevieve Laureys,1,4,4,22001902,2011,2011,2011
Gregoire Lauvau,1,9,9,15048701,2004,2004,2004
Ed C Lavelle,1,23,23,14704372,2004,2004,2004
Toby Lawrence,1,35,35,24737868,2014,2014,2014
Victoria Lawson,1,12,12,22734667,2012,2012,2012
L J Layfield,1,3,3,1927175,1991,1991,1991
M Le Hir,1,25,25,8694267,1996,1996,1996
F Le Naour,1,1,1,11721641,2001,2001,2001
Jean-Bernard Le Pecq,1,8,8,16024263,2005,2005,2005
Delphine Le Roux,1,0,0,22883562,2012,2012,2012
J Le Sellin,1,0,0,1637487,1992,1992,1992
A D Le,1,14,14,22988012,2012,2012,2012
Elizabeth A Leadbetter,1,4,4,24514004,2014,2014,2014
M Lebastard,1,0,0,8889323,1996,1996,1996
S Lebecque,1,1,1,10689135,2000,2000,2000
Yvon Lebranchu,1,3,3,12819489,2003,2003,2003
M Lebwohl,1,21,21,9734903,1998,1998,1998
Marie-Therese Leccia,1,9,9,19850548,2009,2009,2009
Georg Ledderose,1,2,2,15498715,2004,2004,2004
P Lederlin,1,1,1,8977973,1996,1996,1996
Min Ae Lee-Kirsch,1,5,5,23290784,2013,2013,2013
A W Lee,1,15,15,8291653,1994,1994,1994
Benhur Lee,1,5,5,15043214,2004,2004,2004
Je-Jung Lee,1,6,6,22481968,2012,2012,2012
Kyung-Mi Lee,1,1,1,28063015,2017,2017,2017
Min-Geol Lee,1,2,2,24411465,2014,2014,2014
Myung-Shik Lee,1,12,12,19199940,2009,2009,2009
Patrick W K Lee,1,1,1,26690204,2015,2015,2015
Richard T Lee,1,2,2,12957446,2003,2003,2003
V W S Lee,1,6,6,18417542,2008,2008,2008
Walter T Lee,1,1,1,21432020,2011,2011,2011
Leo Lefrancois,1,7,7,16549379,2006,2006,2006
Christian Leguern,1,5,5,21740350,2011,2011,2011
Tracy L Lehman,1,4,4,19896214,2009,2009,2009
Martin Lehmann,1,14,14,21994805,2011,2011,2011
Paul J Lehner,1,10,10,14734114,2004,2004,2004
T Lehner,1,10,10,21441475,2011,2011,2011
S L Leikin,1,0,0,3312148,1987,1987,1987
Andrew J Leishman,1,0,0,15894103,2005,2005,2005
Norbert Leitinger,1,13,13,18751917,2008,2008,2008
Diane Lejeune,1,16,16,18549325,2008,2008,2008
Joel LeMaoult,1,17,17,21960588,2011,2011,2011
Greg Lemke,1,183,183,18421305,2008,2008,2008
M J Lenardo,1,2,2,11505974,2001,2001,2001
Petar Lenert,1,6,6,17917051,2007,2007,2007
Ana-Maria Lennon-Dumenil,1,9,9,24117825,2013,2013,2013
Anthony S-Y Leong,1,13,13,18085063,2007,2007,2007
Bernd Lepenies,1,14,14,23727341,2013,2013,2013
Amir Lerman,1,6,6,19815565,2009,2009,2009
Emil Lesho,1,0,0,15482217,2004,2004,2004
Robert Graham Quinton Leslie,1,10,10,12149415,2002,2002,2002
Maciej S Lesniak,1,2,2,16197807,2005,2005,2005
Olivier Lesur,1,10,10,19789465,2009,2009,2009
Megan Levings,1,9,9,14609215,2003,2003,2003
Megan K Levings,1,55,55,12483031,2002,2002,2002
William R Levis,1,0,0,23134981,2012,2012,2012
Stuart M Levitz,1,8,8,16820318,2006,2006,2006
David E Levy,1,44,44,12495733,2002,2002,2002
Gary Levy,1,20,20,21592823,2011,2011,2011
Jay A Levy,1,20,20,14499239,2003,2003,2003
Ronald Levy,1,21,21,18951668,2008,2008,2008
Andrew M Lew,1,39,39,18268517,2008,2008,2008
Andrzej Lewinski,1,0,0,24802957,2014,2014,2014
D A Lewinsohn,1,32,32,15137550,2004,2004,2004
E C Lewis,1,7,7,25351931,2014,2014,2014
J M Lewis,1,4,4,7615996,1995,1995,1995
R M Lewis,1,0,0,2433218,1986,1986,1986
E M Lezvinskaia,1,0,0,7010824,1981,1981,1981
Gordon Li,1,18,18,24804271,2014,2014,2014
Jieshou Li,1,0,0,25581829,2015,2015,2015
Jinyao Li,1,1,1,26068430,2015,2015,2015
Jun-Li Li,1,9,9,24574784,2014,2014,2014
Jun-Min Li,1,0,0,21729585,2011,2011,2011
Liangyi Li,1,0,0,19948264,2009,2009,2009
Ming Li,1,1,1,26318301,2015,2015,2015
Ming O Li,1,469,469,16551245,2006,2006,2006
Ning Li,1,3,3,26026960,2015,2015,2015
Shulin Li,1,11,11,15384944,2004,2004,2004
Xiaobo Li,1,1,1,16088317,2005,2005,2005
Xuhang Li,1,8,8,25110405,2014,2014,2014
Yi Li,1,11,11,22591635,2012,2012,2012
Zihai Li,1,6,6,12481439,2002,2002,2002
Zhe-Xiong Lian,1,15,15,17976311,2007,2007,2007
Hua-ping Liang,1,6,6,25821827,2015,2015,2015
Yan Liang,1,1,1,24654603,2014,2014,2014
Linda M Liau,1,5,5,15353342,2004,2004,2004
Marshall A Lichtman,1,2,2,16203163,2005,2005,2005
David Lillicrap,1,15,15,12149189,2002,2002,2002
Jong-Seok Lim,1,1,1,27826752,2016,2016,2016
Seah H Lim,1,14,14,17223912,2007,2007,2007
Wendell A Lim,1,63,63,20485291,2010,2010,2010
A H Limper,1,31,31,10877650,2000,2000,2000
C-L S Lin,1,4,4,14702200,2004,2004,2004
Hangliang Lin,1,3,3,22246915,2012,2012,2012
Kah-Wai Lin,1,2,2,17998672,2007,2007,2007
P Charles Lin,1,4,4,23017135,2012,2012,2012
Yan-Juan Lin,1,0,0,20723333,2010,2010,2010
Zhi-Bin Lin,1,11,11,16230843,2005,2005,2005
Dennis M Lindell,1,9,9,18419253,2008,2008,2008
Stefan Linder,1,6,6,25300510,2014,2014,2014
Margaret A Lindorfer,1,11,11,25498911,2014,2014,2014
Tamsin M Lindstrom,1,21,21,20942872,2010,2010,2010
David C Linehan,1,34,34,16106066,2005,2005,2005
Monika Linke,1,26,26,26403194,2015,2015,2015
Michail S Lionakis,1,2,2,25715741,2015,2015,2015
Martin Lipp,1,7,7,12851649,2003,2003,2003
M F Lipscomb,1,0,0,10948671,2000,2000,2000
M I Lisianyi,1,3,3,23957174,2013,2013,2013
J Lisziewicz,1,8,8,17691933,2007,2007,2007
Gentao Liu,1,1,1,17380773,2007,2007,2007
Haiyan Liu,1,0,0,23151133,2012,2012,2012
Jing Liu,1,3,3,26167495,2015,2015,2015
Kang Liu,1,151,151,20193011,2010,2010,2010
Shih-Ping Liu,1,0,0,19523342,2009,2009,2009
Wen-Jun Liu,1,0,0,27342542,2016,2016,2016
Wenjun Liu,1,1,1,21845836,2011,2011,2011
Yan-Rong Liu,1,1,1,20723332,2010,2010,2010
Zhan-Ju Liu,1,15,15,24695798,2014,2014,2014
Zhen-jie Liu,1,0,0,23157840,2012,2012,2012
Zu-Guo Liu,1,0,0,20193437,2010,2010,2010
P O Livingston,1,6,6,11905765,2002,2002,2002
Alexandra M Livingstone,1,8,8,19224140,2009,2009,2009
Gregory Lizee,1,29,29,16914564,2006,2006,2006
Carolina Llanos,1,7,7,23773922,2013,2013,2013
Maria Garcia Lloret,1,3,3,19656481,2009,2009,2009
Clare M Lloyd,1,59,59,21783420,2011,2011,2011
Richard Lo-Man,1,6,6,21524162,2011,2011,2011
