name,total_reviews,total_citedin,max_citedin,max_citedin_pmid,max_citedin_year,year_start,year_last
Angel L Corbi,3,10,7,16312130,2005,2005,2007
Eric Y Denkers,3,31,26,18193362,2008,2008,2014
Betty Diamond,3,16,6,17467728,2007,2007,2015
Glenn Dranoff,3,14,8,19769739,2009,2009,2016
H A Drexhage,3,5,5,9037117,1997,1993,1997
Leisha A Emens,3,37,24,23389507,2013,2009,2015
O Eremin,3,14,8,11242749,2001,2001,2004
David Escors,3,38,24,19857199,2009,2009,2013
Francesca Fallarino,3,70,35,22865044,2012,2007,2012
Barbara Fazekas de St Groth,3,4,2,23286941,2013,2001,2013
Robert L Ferris,3,39,31,21717064,2011,2005,2011
Patricia W Finn,3,18,12,18682113,2008,2003,2008
Dmitry Gabrilovich,3,254,221,15573129,2004,2004,2010
Beatrice Gaugler,3,21,9,12399962,2002,2002,2008
Ronald N Germain,3,88,44,17625969,2007,2004,2007
Eli Gilboa,3,232,153,17476349,2007,1998,2007
Jennifer L Gommerman,3,30,20,22487654,2012,2011,2013
John Greenman,3,16,12,18172882,2008,2004,2008
Marc Gregoire,3,24,17,12827310,2003,2003,2009
Silvia Gregori,3,31,15,21214520,2011,2009,2014
Marcus Groettrup,3,28,24,15560953,2004,2004,2015
Gunther Hartmann,3,52,24,12480254,2002,2002,2008
Wendy L Havran,3,96,54,17291283,2007,1996,2010
Norio Hayashi,3,22,22,16543687,2006,2001,2006
Catharien M U Hilkens,3,72,34,20199240,2010,2010,2013
Kenya Honda,3,15,15,22527722,2012,2009,2012
C J Howard,3,9,4,11068062,2000,2000,2005
Jim Hu,3,65,28,20601611,2010,2010,2011
Jeremy Hughes,3,49,22,18560360,2008,2007,2014
Muneo Inaba,3,8,4,1726938,1990,1990,2005
Tomoki Ito,3,63,55,15592841,2004,2002,2011
Pooja Jain,3,17,8,21822588,2011,2007,2011
Ravi Jotwani,3,65,38,16861283,2006,2004,2006
Tatsuya Kanto,3,10,6,18508652,2008,2008,2016
Daniel H Kaplan,3,106,48,18792030,2008,2008,2010
Mariana J Kaplan,3,58,38,22617827,2012,2007,2012
Emmanuel Katsanis,3,45,18,19618185,2009,2005,2010
Toshio Kitawaki,3,7,6,22028726,2011,2009,2014
Eynav Klechevsky,3,18,13,23651190,2013,2013,2015
Arthur M Krieg,3,442,425,11861616,2002,2000,2002
Mi-Na Kweon,3,33,13,21239178,2011,2010,2014
Andrea Ladanyi,3,12,10,25818762,2015,2004,2015
Nicolas Larmonier,3,49,23,24778417,2014,2011,2014
Afsaneh Lavasanifar,3,38,35,21679733,2011,2011,2011
Maria Cristina Lebre,3,18,11,19236901,2009,2008,2013
Kevin L Legge,3,65,60,19643736,2009,2007,2014
Klaus Ley,3,350,263,19302038,2009,2009,2011
Xian Chang Li,3,24,16,18685327,2008,2008,2010
Peter E Lipsky,3,44,29,12225387,2002,1996,2002
Burkhard Ludewig,3,15,14,10450507,1999,1999,2003
Nicholas W Lukacs,3,40,28,16464446,2006,2006,2013
Andrzej Mackiewicz,3,10,6,14515144,2003,1999,2011
Andrew J Macpherson,3,99,42,15885120,2005,2005,2011
Masahiko Makino,3,0,0,11269197,2001,2001,2014
Markus G Manz,3,63,42,20193010,2010,2007,2010
Angelo Martino,3,27,18,18582397,2008,2007,2008
Chantal Mathieu,3,19,10,12520518,2003,2003,2012
H J McKenna,3,39,20,9286334,1997,1997,2001
Andrew L Mellor,3,522,479,15459668,2004,2004,2010
Stephen D Miller,3,114,49,20637861,2010,2006,2010
Simon W F Milling,3,43,33,24794393,2014,2005,2014
Boris R Minev,3,0,0,9891226,1999,1999,2002
Pierre Miossec,3,13,10,19007422,2008,2006,2009
Laurent Misery,3,29,17,18424369,2008,1996,2008
Philippe Moingeon,3,6,3,16792601,2006,2001,2015
Lyle L Moldawer,3,86,49,11782562,2002,2002,2005
J Rodrigo Mora,3,73,39,17924560,2007,2007,2011
Lorenzo Moretta,3,53,24,24777896,2014,2012,2014
Luc Mouthon,3,1,1,17350787,2007,2005,2008
H Konrad Muller,3,62,54,11903614,2002,1992,2005
Shalin H Naik,3,51,42,18414430,2008,2005,2015
Smita Nair,3,16,6,23296931,2013,2003,2013
Jacques Neefjes,3,222,218,22076556,2011,2010,2012
Peter J Nelson,3,100,68,22135312,2011,2007,2011
L P Nicod,3,19,10,9973683,1999,1993,2000
J F Nicolas,3,8,8,9920992,1999,1998,2002
Mary Norval,3,22,12,10354063,1999,1996,2002
Michel C Nussenzweig,3,965,711,12615891,2003,2002,2005
Pamela S Ohashi,3,47,23,19778555,2009,2002,2013
Naoki Okada,3,1,1,16141513,2005,2001,2005
Daniel Olive,3,26,23,20832362,2010,2003,2010
Waldemar L Olszewski,3,8,7,17715574,2007,2000,2007
Rodrigo Pacheco,3,29,19,19732962,2009,2009,2013
Elzbieta Pajtasz-Piasecka,3,5,4,20635932,2010,2003,2010
Eric G Pamer,3,404,387,21984070,2011,2003,2011
Chandrashekhar Pasare,3,163,94,15596124,2004,2004,2013
George E Peoples,3,11,9,21321484,2011,2011,2016
Gerald E Pierard,3,12,11,18813845,2008,1991,2008
Claudio Ponticelli,3,8,7,22101676,2011,2011,2016
Fiona Powrie,3,314,170,18500229,2008,2001,2008
T R D J Radstake,3,17,9,19031022,2008,2005,2008
Eva Rajnavolgyi,3,28,19,18953714,2008,2003,2008
Jeffrey V Ravetch,3,359,245,16413920,2006,2006,2015
C D Reid,3,8,3,9643561,1998,1997,1998
