name,total_reviews,total_citedin
Silvia Gregori,3,31
Marcus Groettrup,3,28
Gunther Hartmann,3,52
Wendy L Havran,3,96
Norio Hayashi,3,22
Catharien M U Hilkens,3,72
Kenya Honda,3,15
C J Howard,3,9
Jim Hu,3,65
Jeremy Hughes,3,49
Muneo Inaba,3,8
Tomoki Ito,3,63
Pooja Jain,3,17
Ravi Jotwani,3,65
Tatsuya Kanto,3,10
Daniel H Kaplan,3,106
Mariana J Kaplan,3,58
Emmanuel Katsanis,3,45
Toshio Kitawaki,3,7
Eynav Klechevsky,3,18
Arthur M Krieg,3,442
Mi-Na Kweon,3,33
Andrea Ladanyi,3,12
Nicolas Larmonier,3,49
Afsaneh Lavasanifar,3,38
Maria Cristina Lebre,3,18
Kevin L Legge,3,65
Klaus Ley,3,350
Xian Chang Li,3,24
Peter E Lipsky,3,44
Y J Liu,3,242
Burkhard Ludewig,3,15
Nicholas W Lukacs,3,40
Andrzej Mackiewicz,3,10
Andrew J Macpherson,3,99
Masahiko Makino,3,0
Markus G Manz,3,63
Angelo Martino,3,27
Chantal Mathieu,3,19
H J McKenna,3,39
Andrew L Mellor,3,522
Stephen D Miller,3,114
Simon W F Milling,3,43
Boris R Minev,3,0
Pierre Miossec,3,13
Laurent Misery,3,29
Philippe Moingeon,3,6
Lyle L Moldawer,3,86
J Rodrigo Mora,3,73
Lorenzo Moretta,3,53
Luc Mouthon,3,1
H Konrad Muller,3,62
Shalin H Naik,3,51
Smita Nair,3,16
Jacques Neefjes,3,222
Peter J Nelson,3,100
L P Nicod,3,19
J F Nicolas,3,8
Mary Norval,3,22
Michel C Nussenzweig,3,965
Pamela S Ohashi,3,47
Naoki Okada,3,1
Daniel Olive,3,26
Waldemar L Olszewski,3,8
Rodrigo Pacheco,3,29
Elzbieta Pajtasz-Piasecka,3,5
Eric G Pamer,3,404
Chandrashekhar Pasare,3,163
George E Peoples,3,11
Gerald E Pierard,3,12
Claudio Ponticelli,3,8
Fiona Powrie,3,314
T R D J Radstake,3,17
Eva Rajnavolgyi,3,28
Jeffrey V Ravetch,3,359
C D Reid,3,8
Hans-Christian Reinecker,3,56
Brian I Rini,3,15
Paul D Robbins,3,15
Kenneth L Rock,3,98
Jacalyn Rosenblatt,3,12
Daniel R Saban,3,19
Marcus D Saemann,3,158
Flavio Salazar-Onfray,3,12
John H Sampson,3,16
Alessandro D Santin,3,17
Katsuaki Sato,3,21
Detlef Schlondorff,3,55
Michael Schmitt,3,16
Marc Schmitz,3,72
Matthias Schott,3,19
Thomas Schwarz,3,2
Ethan M Shevach,3,42
Shinji Shimada,3,18
Jan C Simon,3,28
Mouldy Sioud,3,15
Hermelijn H Smits,3,55
Hergen Spits,3,52
Andrew J Stagg,3,70
Mary M Stevenson,3,199
Patrizia Stoitzner,3,127
Urban Svajger,3,24
Inge Marie Svane,3,48
Gyongyi Szabo,3,37
Hideaki Tahara,3,29
Yousuke Takahama,3,42
Hidemi Takahashi,3,5
A J Thrasher,3,10
Toshihiko Torigoe,3,13
Dale T Umetsu,3,14
Britta C Urban,3,47
Jenny Valladeau,3,84
Leonie S van Rijt,3,42
Hendrik Veelken,3,13
Eric Vivier,3,197
Michael S von Bergwelt-Baildon,3,38
Esther von Stebut,3,12
Herman Waldmann,3,15
Yonghong Wan,3,26
Ji Ming Wang,3,23
Rong-Fu Wang,3,24
Carl F Ware,3,103
Stephanie S Watowich,3,51
David B Weiner,3,79
Wolfgang Weninger,3,42
Theresa L Whiteside,3,62
K Wolff,3,14
Andrea M Woltman,3,75
T C Wu,3,43
Xi Yang,3,16
Osamu Yoshie,3,7
Akihiko Yoshimura,3,65
Martin Zenke,3,12
Sheng Zhang,3,29
Yanyun Zhang,3,6
Yong Zhao,3,29
Weiping Zou,3,487
N J Zvaifler,3,8
Reza Abdi,2,100
Roberto S Accolla,2,1
Sylvia Adams,2,27
Juan Carlos Aguillon,2,9
Jeffrey D Ahlers,2,12
Omid Akbari,2,5
Hafid Omar Al-Hassi,2,1
Jorge Alcocer-Varela,2,16
Frank Alderuccio,2,5
Selman A Ali,2,36
J-P Allam,2,19
Costica Aloman,2,8
Marcus Altfeld,2,74
Joseph G Altin,2,17
Masayuki Amagai,2,10
Amedeo Amedei,2,20
Veronique Angeli,2,30
Fabienne Anjuere,2,5
R J Arceci,2,25
Kazuhiko Arima,2,6
Anne C Armstrong,2,5
Khusru Asadullah,2,30
Keyoumars Ashkan,2,3
Francois Aubin,2,19
David E Avigan,2,16
Alfred Ayala,2,84
O Baadsgaard,2,6
Santu Bandyopadhyay,2,13
Vincenzo Barnaba,2,3
Markus J Barten,2,4
F Basset,2,4
Jagadeesh Bayry,2,22
Kenneth W Beagley,2,21
Stefan Beissert,2,12
Matteo Bellone,2,11
Igor M Belyakov,2,84
C Berberich,2,13
G Bergenholtz,2,10
Carole L Berger,2,6
M Cecilia Berin,2,19
B Berman,2,0
Alfons Billiau,2,168
Pia Bjorck,2,3
H E Blum,2,5
Richard S Blumberg,2,55
Irene Bonaccorsi,2,4
J D Bos,2,34
Aldar S Bourinbaiar,2,9
Thomas J Braciale,2,25
S M Breathnach,2,1
Michael B Brenner,2,106
Renier J Brentjens,2,4
Francine Briere,2,32
J S Bromberg,2,2
Melissa A Brown,2,32
C Bruijnzeel-Koomen,2,0
Guy G Brusselle,2,129
J Bubenik,2,4
Tomas Buchler,2,3
Patricia C Buchsel,2,3
Luigi Buonaguro,2,31
Sven Burgdorf,2,15
William J Burlingham,2,10
Eugene C Butcher,2,99
Lisa H Butterfield,2,24
Philip C Calder,2,38
Irina Caminschi,2,33
Martin J Cannon,2,8
Ewa Carrier,2,36
Andrea Cerutti,2,31
Alfred E Chang,2,1
Irshad H Chaudry,2,45
Martin A Cheever,2,85
Mirna Chehade,2,47
Hu Chen,2,0
Hongbo Chi,2,13
Javier Chinen,2,2
Shubhada Chiplunkar,2,34
A Choudhury,2,3
Christina S Chu,2,9
D F Claxton,2,2
Edward P Cohen,2,5
C A Colaco,2,6
Jose R Conejo-Garcia,2,30
John Edward Connolly,2,4
Curdin Conrad,2,11
Anne Cooke,2,121
K D Cooper,2,53
Emanuela Corsini,2,10
Michael Croft,2,20
Maria Alicia Curotto de Lafaille,2,300
B D Curti,2,1
Maria C Cuturi,2,18
Myron I Cybulsky,2,19
J Czernielewski,2,0
Reza Dana,2,4
Christian Davrinche,2,9
R A Daynes,2,1
Bruno G De Geest,2,10
Carl De Trez,2,11
William K Decker,2,3
Mario Delgado,2,15
Anthony J Demetris,2,4
Timothy L Denning,2,4
M Di Nicola,2,1
James P Di Santo,2,103
Sandra S Diebold,2,37
Guillaume Dighiero,2,2
Dagmar Dilloo,2,4
Robert W Doms,2,26
Charles G Drake,2,9
B Dreno,2,0
Danuta Dus,2,0
Eyad Elkord,2,21
Wilfried Ellmeier,2,26
Bart Everts,2,62
Muller Fabbri,2,2
Marika Falcone,2,8
A S Fauci,2,29
Maryam Feili-Hariri,2,6
Marc Feldmann,2,42
Silvano Ferrini,2,18
Olivera J Finn,2,17
Katherine A Fitzgerald,2,58
Helena F Florindo,2,18
Silvia C Formenti,2,86
Francine M Foss,2,19
S Fossum,2,6
Aaron E Foster,2,5
Jean-Jacques Fournie,2,9
Franco Frati,2,7
P S Friedmann,2,4
Yoshinori Fukui,2,14
Udo S Gaipl,2,31
Thomas F Gajewski,2,43
Jacques Galipeau,2,11
Jian-Qing Gao,2,14
Natalio Garbi,2,18
J S Hill Gaston,2,8
William C Gause,2,85
Yair Gazitt,2,11
Jorge Geffner,2,27
G Frank Gerberick,2,4
Laurel J Gershwin,2,6
Nick Giannoukakis,2,19
Angel Gil,2,23
Michelle Ann Gill,2,24
G Girolomoni,2,11
Gregory M Glenn,2,37
B Glick,2,9
Michael S Goldberg,2,18
Daniel R Goldstein,2,17
Jianlin Gong,2,25
Jean-Pierre Gorvel,2,18
Alice B Gottlieb,2,10
S Grabbe,2,12
Stephen H Gregory,2,24
Tim F Greten,2,14
Ursula Grohmann,2,5
Wolgang L Gross,2,9
Herve Groux,2,25
Beatrix Grubeck-Loebenstein,2,100
Gabriele Grunig,2,10
Pierre Guermonprez,2,328
Sudhir Gupta,2,23
Bumsuk Hahm,2,31
Young S Hahn,2,21
Cornelia Halin,2,15
Muzlifah Haniffa,2,45
Arno Hanninen,2,3
William Harnett,2,18
John T Harty,2,118
Mamoru Hasegawa,2,5
Robert E Hawkins,2,0
Linda D Hazlett,2,21
Hiroaki Hemmi,2,424
Michael Hensel,2,60
Farhad Heshmati,2,11
Helen E Heslop,2,19
E C Hoefsmit,2,20
Stephen T Holgate,2,127
Bernhard Homey,2,18
A-H Hovav,2,16
He Huang,2,2
Iwona Hus,2,4
Ken J Ishii,2,96
Akihiro Ishizu,2,0
Makoto Iwata,2,39
David G Jackson,2,55
Joshy Jacob,2,10
Elaine S Jaffe,2,18
Frode L Jahnsen,2,14
Edith M Janssen,2,4
Peter E Jensen,2,74
Dieter Jocham,2,6
Douglas E Jones,2,8
Gareth E Jones,2,76
Manel Jordana,2,2
Regis Josien,2,14
Szczepan Jozefowski,2,5
Ulrich Kalinke,2,9
E W Kamperdijk,2,23
E Kampgen,2,10
Tatsuyoshi Kawamura,2,0
Denise Kelly,2,33
Lajos Kemeny,2,18
Ashok Khar,2,1
Hiroshi Kiyono,2,20
Bernard Klein,2,21
Dennis M Klinman,2,24
W Knapp,2,46
Percy A Knolle,2,109
J N Kochenderfer,2,10
Jay K Kolls,2,41
Yrjo T Konttinen,2,2
Firouzeh Korangy,2,19
Heinrich Korner,2,26
M H Kosco,2,0
Elizabeth J Kovacs,2,124
Shigeo Koyasu,2,153
G Kraal,2,87
Anne Krug,2,10
Akiharu Kubo,2,0
Masato Kubo,2,362
Steven L Kunkel,2,31
Jon Amund Kyte,2,17
P J Lane,2,10
Jean Langhorne,2,44
Lewis L Lanier,2,204
Adriana T Larregina,2,35
Marie Larsson,2,19
Krzysztof Laudanski,2,2
Alan H Lazarus,2,9
Agnes Le Bon,2,210
Kelvin P Lee,2,9
Agnes Lehuen,2,10
Roberto M Lemoli,2,0
Petar S Lenert,2,27
Laurel L Lenz,2,38
Warren J Leonard,2,217
Lee Leserman,2,5
Sharon R Lewin,2,12
Gang Li,2,54
Yan Li,2,0
Frederick R Liewehr,2,21
Michael Lim,2,13
Hans Link,2,12
G B Lipford,2,2
Dan R Littman,2,24
L M Liu,2,8
Jose Alejandro Lopez,2,64
